PWSName,Size,FacilityName,FacilityWaterType,Contaminant,MRL,Result,Result_value,State,Date
Gardner Water Department,L,Crystal Lake Filtration Plant,SW,manganese,0.4,TRUE,66.644,MA,2019-04-15
Gardner Water Department,L,Crystal Lake Filtration Plant,SW,manganese,0.4,TRUE,76.394,MA,2019-07-10
Gardner Water Department,L,Crystal Lake Filtration Plant,SW,manganese,0.4,TRUE,93.175,MA,2019-10-09
Gardner Water Department,L,Crystal Lake Filtration Plant,SW,manganese,0.4,TRUE,43.528,MA,2020-01-22
Gardner Water Department,L,Snake Pond WTF,GW,manganese,0.4,TRUE,0.701,MA,2019-04-15
Gardner Water Department,L,Snake Pond WTF,GW,manganese,0.4,TRUE,0.75,MA,2019-10-09
Grafton Water District,L,Worcester Street TP,GW,manganese,0.4,TRUE,6.42,MA,2020-06-08
Grafton Water District,L,East Street #2A TP,GW,manganese,0.4,TRUE,1350,MA,2020-06-02
Grafton Water District,L,East Street #3 TP,GW,manganese,0.4,TRUE,1170,MA,2020-06-02
Grafton Water District,L,Follette Street TP,GW,manganese,0.4,TRUE,0.695,MA,2020-06-15
Grafton Water District,L,Trinity Avenue TP,GW,manganese,0.4,TRUE,136,MA,2020-06-02
Holden DPW Water Division,L,Spring Street Well,GW,manganese,0.4,TRUE,87.9,MA,2019-05-22
Holden DPW Water Division,L,Spring Street Well,GW,manganese,0.4,TRUE,119,MA,2019-12-12
Holden DPW Water Division,L,Wachusett Street WTP,GW,manganese,0.4,TRUE,4.1,MA,2019-05-22
Holden DPW Water Division,L,Wachusett Street WTP,GW,manganese,0.4,TRUE,17.3,MA,2019-11-25
Holden DPW Water Division,L,Mason Road Well,GW,manganese,0.4,TRUE,16.2,MA,2019-05-22
Holden DPW Water Division,L,Mason Road Well,GW,manganese,0.4,TRUE,27.7,MA,2019-11-25
Holden DPW Water Division,L,Brattle Intertie,SW,manganese,0.4,TRUE,40.4,MA,2019-05-22
Holden DPW Water Division,L,Brattle Intertie,SW,manganese,0.4,TRUE,36,MA,2019-08-27
